 num     #instances         #bytes  class name (module)
 325:            67           1608  org.codehaus.plexus.classworlds.realm.Entry
 326:            50           1600  jdk.internal.reflect.DirectMethodHandleAccessor (java.base@23)
 327:            40           1600  org.apache.maven.model.building.ModelData
 328:            33           1584  java.time.temporal.ValueRange (java.base@23)
 329:            97           1552  java.util.regex.Pattern$$Lambda/0x800000032 (java.base@23)
 330:            64           1536  org.eclipse.sisu.wire.BeanProviders$7
 331:            32           1536  org.glassfish.jersey.uri.PathTemplate
 332:            46           1528  [Lorg.eclipse.sisu.bean.PropertyBinding;
 333:            63           1512  org.eclipse.aether.internal.impl.collect.DataPool$DescriptorKey
 334:            61           1464  java.lang.module.ResolvedModule (java.base@23)
 335:            61           1464  jdk.internal.module.SystemModuleFinders$2 (java.base@23)
 336:            61           1464  jdk.internal.module.SystemModuleFinders$SystemModuleReader (java.base@23)
 337:            91           1456  org.apache.maven.artifact.versioning.ComparableVersion$IntItem
 338:            30           1440  java.time.temporal.ChronoField (java.base@23)
 339:            36           1440  org.apache.maven.artifact.versioning.DefaultArtifactVersion
 340:            60           1440  org.glassfish.hk2.internal.IndexedFilterImpl
 341:            60           1440  org.jvnet.hk2.internal.ImmediateResults
 342:            60           1440  org.jvnet.hk2.internal.NarrowResults
 343:             1           1424  [[B (java.base@23)
 344:            59           1416  com.google.inject.internal.ErrorId
 345:            59           1416  java.lang.module.ModuleDescriptor$Provides (java.base@23)
 346:            44           1408  java.util.Formatter$FormatSpecifier (java.base@23)
 347:            58           1392  org.glassfish.jersey.server.internal.routing.MethodRouting
 348:            58           1392  org.glassfish.jersey.server.internal.routing.PushMethodHandlerRouter
 349:            58           1392  org.glassfish.jersey.server.model.MethodHandler$ClassBasedMethodHandler
 350:            58           1392  org.glassfish.jersey.server.model.ResourceMethod
 351:             1           1376  [Ljdk.internal.math.FDBigInteger; (java.base@23)
 352:            43           1376  java.util.regex.Pattern$Branch (java.base@23)
 353:            43           1376  sun.reflect.generics.reflectiveObjects.TypeVariableImpl (java.base@23)
 354:            10           1360  org.glassfish.grizzly.threadpool.DefaultWorkerThread
 355:            85           1360  sun.nio.fs.UnixFileAttributes$UnixAsBasicFileAttributes (java.base@23)
 356:            42           1344  org.apache.maven.repository.internal.DefaultModelCache$Key
 357:            83           1328  [Ljava.security.Principal; (java.base@23)
 358:            83           1328  java.security.ProtectionDomain$Key (java.base@23)
 359:            11           1320  org.glassfish.hk2.internal.ConstantActiveDescriptor
 360:            81           1296  jdk.proxy1.$Proxy10 (jdk.proxy1)
 361:             9           1296  org.apache.maven.plugin.descriptor.MojoDescriptor
 362:            54           1296  org.jvnet.hk2.internal.SoftAnnotatedElementAnnotationInfo
 363:            10           1280  org.jvnet.hk2.internal.ConstantActiveDescriptor
 364:            52           1248  org.slf4j.impl.MavenSimpleLogger
 365:            76           1216  javax.ws.rs.core.MediaType$1
 366:            38           1184  [Ljava.math.BigInteger; (java.base@23)
 367:            21           1176  org.apache.maven.model.Parent
 368:            49           1176  org.glassfish.jersey.server.internal.inject.EntityParamValueFactoryProvider$EntityValueFactory
 369:            24           1152  com.google.inject.internal.LinkedProviderBindingImpl
 370:            71           1136  java.util.jar.Attributes (java.base@23)
 371:            47           1128  java.util.regex.Pattern$CharPropertyGreedy (java.base@23)
 372:            47           1128  sun.reflect.generics.tree.FormalTypeParameter (java.base@23)
 373:             1           1112  [Lsun.security.util.KnownOIDs; (java.base@23)
 374:            46           1104  org.eclipse.sisu.plexus.ConfigurationImpl
 375:             4           1088  [Lorg.glassfish.jersey.internal.util.collection.ConcurrentHashMapV8$Node;
 376:            54           1088  [[Ljava.lang.annotation.Annotation; (java.base@23)
 377:            45           1080  org.apache.maven.artifact.versioning.ComparableVersion$ListItem
 378:             2           1064  [Ljava.lang.Long; (java.base@23)
 379:            19           1064  org.apache.maven.model.License
 380:            22           1056  org.apache.maven.model.Reporting
 381:            33           1056  org.glassfish.jersey.uri.PathPattern
 382:             1           1040  [Ljava.lang.Byte; (java.base@23)
 383:             1           1040  [Ljava.lang.Integer; (java.base@23)
 384:             1           1040  [Ljava.lang.Short; (java.base@23)
 385:            32           1040  [Ljava.time.format.DateTimeFormatterBuilder$DateTimePrinterParser; (java.base@23)
 386:            10           1040  org.glassfish.grizzly.utils.ThreadLocalRandom
 387:            43           1032  [Ljava.util.regex.Pattern$Node; (java.base@23)
 388:            43           1032  jdk.internal.constant.MethodTypeDescImpl (java.base@23)
 389:            43           1032  org.eclipse.sisu.plexus.PlexusXmlMetadata
 390:            64           1024  java.util.Collections$UnmodifiableCollection (java.base@23)
 391:            64           1024  java.util.HashMap$EntrySet (java.base@23)
 392:            64           1024  jdk.internal.constant.ReferenceClassDescImpl (java.base@23)
 393:            32           1024  org.glassfish.grizzly.utils.ArraySet
 394:            63           1008  jdk.proxy2.$Proxy22 (jdk.proxy2)
 395:            31            992  java.lang.invoke.VarHandle$AccessMode (java.base@23)
 396:            31            992  org.apache.maven.model.PluginManagement
 397:            31            992  sun.reflect.generics.tree.MethodTypeSignature (java.base@23)
 398:            11            968  org.apache.maven.model.Contributor
 399:            40            960  java.lang.ThreadLocal$ThreadLocalMap (java.base@23)
 400:            24            960  java.lang.invoke.DirectMethodHandle$Special (java.base@23)
 401:            30            960  java.lang.invoke.MethodHandles$Lookup (java.base@23)
 402:            40            960  org.glassfish.grizzly.attributes.UnsafeAttributeHolder$Holder
 403:            59            944  jdk.internal.module.SystemModuleFinders$3 (java.base@23)
 404:            32            936  [Ljava.lang.annotation.ElementType; (java.base@23)
 405:            34            928  [Lorg.glassfish.grizzly.IOEvent;
 406:            29            928  java.util.regex.Pattern$Curly (java.base@23)
 407:            58            928  org.glassfish.jersey.server.internal.routing.PushMatchedMethodRouter
 408:            58            928  org.glassfish.jersey.server.internal.routing.Routers$EndpointRouter
 409:            23            920  java.lang.reflect.AccessFlag (java.base@23)
